topic,doc_pred,bert_sentiment,lexicon_sentiment,topical,tokens,entities,length,text,text_eng,label,y_textblob,y_vader
Donald Trump,-1.55837214,-1.195102453,-0.470588235,0,13,0,72,Imens bliver passagererne mere og mere urolige og forsøger at komme væk.,"Meanwhile, the passengers become more and more restless and try to get away. ",-2,1.0,-0.7866
Boris Johnson,-1.698865175,-0.751375675,-0.24778761,1,11,2,72,Channel 4s isskulpturer gjorde Boris Johnsons afbud tydeligt for enhver.,Channel 4's ice sculptures made Boris Johnson's resignation clear to anyone. ,-2,0.20000000000000004,0.2054
Donald Trump,-1.428882241,0.119638205,-0.953488372,0,7,0,55,Han er udpeget afjustitsministerietsom særlig anklager.,He has been appointed by the Ministry of Justice as a special prosecutor. ,-2,0.7142857142857143,1.4538
Donald Trump,-1.457036138,-0.526978791,-0.007380074,0,18,0,86,"Og muligvis er de nuværende regler om, hvad man lovligt kan sige og skrive for slappe.",And possibly the current rules about what one can legally say and write are too lax. ,-2,0.13333333333333333,0.2054
Donald Trump,-1.72256887,-0.700014472,-0.14285714300000002,0,13,1,62,"Hvis der kommer en rigsretssag mod Trump, ventes den i januar.","If there is a federal lawsuit against Trump, it is expected in January. ",-2,-0.2,-0.4526
Donald Trump,-1.8696190119999998,-1.528728724,-0.293103448,0,11,0,67,"Det viser, hvor forkvaklet denne paranoide mands verdensbillede er.",It shows how distorted this paranoid man's worldview is. ,-2,0.0,-1.2118
Boris Johnson,-1.698865175,-1.101011038,-0.145454546,0,17,3,98,Og så tog Channel 4 en kontroversiel beslutning: Johnson og Farage blev erstattet af isskulpturer.,And then Channel 4 made a controversial decision: Johnson and Farage were replaced by ice sculptures. ,-2,1.1,-0.4046
Donald Trump,-1.709897995,-0.564301133,-0.736842105,0,8,1,52,Dengang blev Michael Cohen nægtet tidlig løsladelse.,"At the time, Michael Cohen was denied early release. ",-2,0.2,-0.8808
Boris Johnson,-1.698865175,-0.740140975,-0.043478261,1,15,2,95,Premierminister Boris Johnson og Brexit-partiets Nigel Farage havde dog valgt ikke at dukke op.,"However, Prime Minister Boris Johnson and Brexit party Nigel Farage had chosen not to show up. ",-2,0.0,0.8038
Donald Trump,-1.21890831,-0.6615970729999999,0.0,0,13,3,69,"Trump fortalte ikke Comey, hvornår han havde denne samtale med Putin.",Trump did not tell Comey when he had this conversation with Putin. ,-2,0.0,0.0
